invoice_id,customer_id,product_id,quantity,unit_price,order_date,revenue
10117,62,39,2,64.74,2024-01-10,129.48
10118,231,53,4,6.21,2025-01-17,24.84
10119,55,114,6,20.14,2025-11-13,120.84
10120,770,86,4,32.28,2025-11-06,129.12
10121,457,3,1,30.96,2025-06-28,30.96
10122,494,10,1,16.11,2024-01-18,16.11
10123,480,22,3,60.4,2025-07-02,181.2
10124,794,103,1,8.94,2025-05-29,8.94
10125,663,22,6,60.4,2025-03-16,362.4
10126,655,2,2,44.93,2024-04-19,89.86
10127,750,119,5,18.81,2024-06-01,94.05
10128,257,15,5,61.53,2025-06-23,307.65
10129,266,51,3,90.07,2024-09-30,270.21
10130,648,51,1,90.07,2025-01-17,90.07
10131,789,63,4,6.0,2025-08-01,24.0
10132,258,27,6,59.86,2024-08-19,359.16
10133,312,23,1,143.58,2025-10-31,143.58
10134,797,64,6,52.6,2024-02-02,315.6
10135,86,105,4,380.37,2025-01-21,1521.48
10136,494,57,1,47.67,2025-10-14,47.67
10137,13,80,2,190.09,2024-03-25,380.18
10138,459,7,4,61.52,2025-10-22,246.08
10139,643,94,5,92.23,2024-04-07,461.15
10140,732,22,1,60.4,2024-08-23,60.4
10141,222,48,6,30.36,2025-08-03,182.16
10142,457,73,1,57.28,2024-03-17,57.28
10143,542,30,3,185.82,2025-07-10,557.46
10144,501,16,1,7.99,2024-07-02,7.99
10145,763,78,3,10.87,2024-01-17,32.61
10146,791,21,5,100.98,2024-05-27,504.9
10147,610,72,6,46.06,2025-02-11,276.36
10148,763,19,3,3.72,2024-06-15,11.16
10149,501,42,5,81.71,2025-02-02,408.55
10150,535,2,5,44.93,2024-12-05,224.65
10151,386,87,6,40.71,2024-05-23,244.26
10152,648,83,6,61.86,2024-03-21,371.16
10153,459,12,3,64.05,2024-02-24,192.15
10154,87,68,2,39.51,2024-03-18,79.02
10155,342,61,5,16.45,2025-09-01,82.25
10156,392,54,3,48.43,2024-01-31,145.29
10157,529,49,4,119.93,2025-05-17,479.72
10158,245,28,5,182.08,2025-01-19,910.4
10159,420,114,6,20.14,2025-08-22,120.84
10160,529,112,1,74.5,2025-09-25,74.5
10161,312,34,2,32.99,2025-12-31,65.98
10162,70,35,3,68.43,2024-06-06,205.29
10163,383,91,6,107.6,2024-06-06,645.6
10164,598,113,3,46.14,2025-01-04,138.42
10165,96,43,1,32.04,2024-11-11,32.04
10166,433,62,3,33.33,2024-04-14,99.99
10167,132,49,2,119.93,2025-03-17,239.86
10168,435,15,5,61.53,2025-06-08,307.65
10169,400,14,1,18.35,2024-04-01,18.35
10170,351,25,1,58.63,2025-09-03,58.63
10171,529,30,3,185.82,2025-01-29,557.46
10172,15,28,4,182.08,2025-02-01,728.32
10173,636,80,6,190.09,2025-07-26,1140.54
10174,745,95,2,22.36,2025-08-08,44.72
10175,473,100,6,33.52,2025-01-24,201.12
10176,177,1,3,50.13,2024-11-04,150.39
10177,284,73,2,57.28,2024-03-05,114.56
10178,173,101,3,11.46,2025-03-07,34.38
10179,312,78,1,10.87,2025-01-04,10.87
10180,266,103,2,8.94,2025-10-02,17.88
10181,457,56,5,29.99,2024-07-19,149.95
10182,441,108,2,12.15,2024-11-07,24.3
10183,9,30,4,185.82,2024-12-06,743.28
10184,681,36,4,5.91,2024-12-03,23.64
10185,428,54,4,48.43,2025-10-28,193.72
10186,794,33,2,32.06,2024-11-03,64.12
10187,330,23,6,143.58,2024-07-24,861.48
10188,457,75,2,19.35,2025-02-11,38.7
10189,794,11,3,26.16,2025-12-12,78.48
10190,529,31,5,54.69,2024-09-05,273.45
10191,334,29,3,307.74,2025-02-06,923.22
10192,366,98,5,6.8,2024-07-23,34.0
10193,529,28,5,182.08,2024-07-03,910.4
10194,540,46,5,40.14,2024-01-28,200.7
10195,784,43,4,32.04,2025-12-26,128.16
10196,220,110,3,20.1,2025-12-10,60.3
10197,64,11,4,26.16,2025-11-20,104.64
10198,458,98,6,6.8,2024-11-06,40.8
10199,257,60,6,78.3,2024-06-06,469.8
10200,570,29,4,307.74,2024-03-16,1230.96
10201,435,2,5,44.93,2025-05-05,224.65
10202,520,6,5,73.75,2025-06-02,368.75
10203,758,38,6,96.76,2025-03-04,580.56
10204,494,112,3,74.5,2025-12-19,223.5
10205,734,74,5,33.89,2025-08-31,169.45
10206,529,67,1,6.62,2024-04-21,6.62
10207,625,67,6,6.62,2025-11-11,39.72
10208,352,16,6,7.99,2025-09-19,47.94
10209,34,21,6,100.98,2025-11-24,605.88
10210,529,92,3,10.94,2025-03-16,32.82
10211,95,104,1,15.44,2024-09-21,15.44
10212,236,16,6,7.99,2025-06-15,47.94
10213,496,46,6,40.14,2025-08-12,240.84
10214,235,9,3,104.16,2025-02-04,312.48
10215,447,87,6,40.71,2025-08-25,244.26
10216,546,98,2,6.8,2024-12-19,13.6
10217,799,52,4,59.6,2024-04-17,238.4
10218,312,11,1,26.16,2024-04-28,26.16
10219,675,57,6,47.67,2024-05-25,286.02
10220,345,74,3,33.89,2025-04-11,101.67
10221,643,50,5,8.2,2025-05-09,41.0
10222,345,27,1,59.86,2025-03-24,59.86
10223,578,102,4,40.39,2024-11-22,161.56
10224,61,26,1,79.43,2025-12-28,79.43
10225,108,22,3,60.4,2025-10-25,181.2
10226,99,1,2,50.13,2024-09-06,100.26
10227,466,19,5,3.72,2024-06-12,18.6
10228,342,53,4,6.21,2025-04-18,24.84
10229,250,105,4,380.37,2025-10-06,1521.48
10230,192,115,6,30.74,2025-11-04,184.44
10231,420,45,1,69.2,2025-09-20,69.2
10232,723,70,4,55.27,2025-08-29,221.08
10233,420,119,1,18.81,2025-12-22,18.81
10234,227,109,3,20.83,2025-12-21,62.49
10235,656,70,1,55.27,2025-08-14,55.27
10236,91,51,5,90.07,2024-07-10,450.35
10237,368,69,2,50.68,2025-04-13,101.36
10238,106,83,6,61.86,2025-05-16,371.16
10239,478,31,6,54.69,2024-11-16,328.14
10240,529,44,5,3.7,2025-02-05,18.5
10241,525,80,3,190.09,2024-12-26,570.27
10242,685,58,5,76.78,2024-06-25,383.9
10243,664,14,6,18.35,2024-10-31,110.1
10244,751,100,5,33.52,2024-03-27,167.6
10245,533,96,3,335.97,2024-04-30,1007.91
10246,257,88,1,68.81,2024-07-06,68.81
10247,377,15,2,61.53,2025-06-07,123.06
10248,387,54,5,48.43,2024-05-21,242.15
10249,512,62,4,33.33,2024-07-09,133.32
10250,457,57,5,47.67,2025-12-11,238.35
10251,751,108,2,12.15,2025-07-22,24.3
10252,173,92,3,10.94,2024-05-23,32.82
10253,194,25,4,58.63,2025-09-26,234.52
10254,44,88,3,68.81,2024-01-10,206.43
10255,457,66,2,53.59,2025-01-28,107.18
10256,793,95,5,22.36,2025-10-30,111.8
10257,457,7,6,61.52,2025-05-18,369.12
10258,410,81,4,37.15,2025-05-15,148.6
10259,173,52,5,59.6,2024-02-01,298.0
10260,648,107,2,80.59,2024-10-26,161.18
10261,34,23,2,143.58,2025-07-04,287.16
10262,308,120,4,56.35,2025-08-02,225.4
10263,599,107,4,80.59,2025-07-16,322.36
10264,464,104,5,15.44,2024-04-26,77.2
10265,284,53,5,6.21,2025-01-10,31.05
10266,494,38,1,96.76,2025-03-27,96.76
10267,494,103,4,8.94,2024-04-14,35.76
10268,594,90,6,8.48,2024-09-10,50.88
10269,312,119,1,18.81,2025-04-05,18.81
10270,277,63,1,6.0,2025-03-25,6.0
10271,702,114,1,20.14,2024-08-30,20.14
10272,220,37,6,249.65,2025-08-25,1497.9
10273,544,63,6,6.0,2025-09-16,36.0
10274,529,114,2,20.14,2025-09-22,40.28
10275,143,72,2,46.06,2024-07-30,92.12
10276,654,104,5,15.44,2024-12-25,77.2
10277,484,44,5,3.7,2025-07-05,18.5
10278,175,7,6,61.52,2024-10-26,369.12
10279,309,52,3,59.6,2025-06-10,178.8
10280,794,110,6,20.1,2024-04-07,120.6
10281,138,19,4,3.72,2024-03-01,14.88
10282,798,70,6,55.27,2024-05-09,331.62
10283,556,42,2,81.71,2024-09-12,163.42
10284,151,53,3,6.21,2024-09-10,18.63
10285,623,95,6,22.36,2025-02-06,134.16
10286,457,17,5,5.46,2025-10-09,27.3
10287,284,49,4,119.93,2025-01-19,479.72
10288,436,79,6,11.95,2024-04-05,71.7
10289,395,71,6,34.02,2024-10-11,204.12
10290,551,27,3,59.86,2025-04-10,179.58
10291,782,47,3,106.64,2025-08-18,319.92
10292,5,95,6,22.36,2024-04-05,134.16
10293,586,64,4,52.6,2025-10-12,210.4
10294,529,3,3,30.96,2024-03-05,92.88
10295,648,38,4,96.76,2024-08-11,387.04
10296,794,64,2,52.6,2025-05-21,105.2
10297,284,31,3,54.69,2024-12-11,164.07
10298,494,108,2,12.15,2025-08-02,24.3
10299,689,40,3,7.34,2025-11-29,22.02
10300,623,86,1,32.28,2024-04-11,32.28
10301,529,59,4,19.24,2024-01-17,76.96
10302,120,68,2,39.51,2025-03-27,79.02
10303,440,69,4,50.68,2024-07-26,202.72
10304,798,93,2,48.58,2025-10-27,97.16
10305,313,89,3,32.96,2024-04-05,98.88
10306,529,44,3,3.7,2024-03-25,11.1
10307,374,47,6,106.64,2024-06-18,639.84
10308,42,86,6,32.28,2024-11-08,193.68
10309,584,74,2,33.89,2025-03-15,67.78
10310,529,36,6,5.91,2024-04-07,35.46
10311,2,83,4,61.86,2024-03-20,247.44
10312,132,35,2,68.43,2025-06-15,136.86
10313,538,8,1,72.9,2024-01-09,72.9
10314,552,102,1,40.39,2025-03-08,40.39
10315,550,100,4,33.52,2024-03-13,134.08
10316,247,115,1,30.74,2024-04-14,30.74
10317,92,31,3,54.69,2024-11-02,164.07
10318,140,68,2,39.51,2025-10-18,79.02
10319,798,110,2,20.1,2024-03-11,40.2
10320,482,48,1,30.36,2025-09-16,30.36
10321,529,108,4,12.15,2024-12-25,48.6
10322,579,115,6,30.74,2024-06-04,184.44
10323,753,98,5,6.8,2025-12-04,34.0
10324,431,51,2,90.07,2024-03-29,180.14
10325,736,107,2,80.59,2024-05-06,161.18
10326,529,91,4,107.6,2024-12-25,430.4
10327,792,98,3,6.8,2024-05-23,20.4
10328,261,84,6,64.49,2024-03-27,386.94
10329,262,41,5,30.28,2025-09-06,151.4
10330,578,56,3,29.99,2025-12-08,89.97
10331,27,55,6,82.67,2024-11-04,496.02
10332,217,34,5,32.99,2025-06-05,164.95
10333,196,37,4,249.65,2024-10-29,998.6
10334,529,41,2,30.28,2025-05-21,60.56
10335,387,56,2,29.99,2025-05-26,59.98
10336,529,74,1,33.89,2025-06-24,33.89
10337,729,109,1,20.83,2025-01-04,20.83
10338,770,40,2,7.34,2025-01-31,14.68
10339,699,94,5,92.23,2025-03-06,461.15
10340,367,2,6,44.93,2024-06-25,269.58
10341,623,92,1,10.94,2024-01-18,10.94
10342,526,69,1,50.68,2024-09-25,50.68
10343,228,108,1,12.15,2025-02-11,12.15
10344,460,48,6,30.36,2025-12-30,182.16
10345,459,4,4,21.16,2025-03-09,84.64
10346,556,63,1,6.0,2025-10-17,6.0
10347,490,21,5,100.98,2024-06-05,504.9
10348,294,66,3,53.59,2024-03-21,160.77
10349,464,19,2,3.72,2024-06-08,7.44
10350,490,61,4,16.45,2025-08-23,65.8
10351,529,85,6,81.24,2025-11-28,487.44
10352,529,57,3,47.67,2025-12-16,143.01
10353,426,106,2,7.75,2024-02-29,15.5
10354,260,46,4,40.14,2024-04-28,160.56
10355,438,96,5,335.97,2024-02-26,1679.85
10356,319,20,6,23.62,2025-11-04,141.72
10357,598,69,1,50.68,2024-01-13,50.68
10358,564,15,6,61.53,2024-01-12,369.18
10359,168,4,3,21.16,2025-06-19,63.48
10360,468,69,6,50.68,2024-09-22,304.08
10361,173,23,2,143.58,2024-10-02,287.16
10362,589,92,1,10.94,2024-01-31,10.94
10363,342,13,4,13.39,2024-10-05,53.56
10364,477,60,3,78.3,2025-12-30,234.9
10365,794,111,6,17.55,2024-03-19,105.3
10366,457,4,5,21.16,2025-01-03,105.8
10367,47,102,5,40.39,2024-06-19,201.95
10368,370,48,3,30.36,2024-04-15,91.08
10369,732,86,6,32.28,2024-04-28,193.68
10370,246,70,5,55.27,2024-01-03,276.35
10371,34,118,1,269.51,2024-09-07,269.51
10372,36,99,3,19.12,2025-01-27,57.36
10373,753,19,2,3.72,2024-02-06,7.44
10374,494,20,6,23.62,2025-11-02,141.72
10375,414,59,3,19.24,2024-09-11,57.72
10376,410,4,6,21.16,2024-11-23,126.96
10377,286,89,1,32.96,2025-08-08,32.96
10378,376,50,5,8.2,2025-11-20,41.0
10379,740,55,2,82.67,2024-08-16,165.34
10380,653,120,1,56.35,2025-02-14,56.35
10381,63,115,4,30.74,2024-10-16,122.96
10382,631,85,3,81.24,2024-12-01,243.72
10383,80,3,4,30.96,2024-01-09,123.84
10384,371,102,3,40.39,2025-07-31,121.17
10385,643,8,6,72.9,2025-09-29,437.4
10386,257,69,3,50.68,2025-08-28,152.04
10387,794,54,2,48.43,2025-07-13,96.86
10388,621,74,2,33.89,2024-06-03,67.78
10389,9,75,4,19.35,2024-01-25,77.4
10390,251,116,3,24.71,2025-10-13,74.13
10391,681,86,1,32.28,2024-12-09,32.28
10392,3,113,6,46.14,2025-01-20,276.84
10393,688,11,6,26.16,2024-11-10,156.96
10394,92,52,5,59.6,2024-08-31,298.0
10395,415,120,1,56.35,2024-05-25,56.35
10396,567,56,1,29.99,2024-02-14,29.99
10397,755,61,5,16.45,2025-02-26,82.25
10398,555,44,3,3.7,2025-04-14,11.1
10399,794,75,1,19.35,2025-08-17,19.35
10400,86,96,2,335.97,2025-10-14,671.94
10401,670,28,1,182.08,2025-08-29,182.08
10402,505,10,4,16.11,2025-11-09,64.44
10403,793,42,2,81.71,2024-10-25,163.42
10404,277,59,3,19.24,2025-02-06,57.72
10405,555,5,6,26.61,2024-11-30,159.66
10406,327,28,3,182.08,2024-08-27,546.24
10407,70,4,2,21.16,2024-05-19,42.32
10408,637,4,5,21.16,2024-04-21,105.8
10409,160,104,2,15.44,2025-04-05,30.88
10410,452,111,4,17.55,2024-05-03,70.2
10411,490,37,2,249.65,2025-04-07,499.3
10412,318,47,3,106.64,2024-05-02,319.92
10413,85,32,6,34.6,2024-11-07,207.6
10414,670,92,6,10.94,2025-09-09,65.64
10415,34,47,3,106.64,2024-05-31,319.92
10416,85,21,2,100.98,2024-12-30,201.96
10417,392,26,1,79.43,2025-11-24,79.43
10418,312,86,2,32.28,2024-02-01,64.56
10419,783,113,4,46.14,2025-07-23,184.56
10420,603,21,2,100.98,2024-04-06,201.96
10421,445,50,2,8.2,2024-05-04,16.4
10422,14,80,2,190.09,2024-05-13,380.18
10423,210,55,4,82.67,2025-01-16,330.68
10424,544,93,6,48.58,2024-03-27,291.48
10425,520,6,3,73.75,2024-03-17,221.25
10426,22,50,1,8.2,2024-07-21,8.2
10427,740,50,4,8.2,2024-05-11,32.8
10428,86,8,3,72.9,2024-05-05,218.7
10429,34,47,4,106.64,2024-02-21,426.56
10430,175,67,5,6.62,2025-03-19,33.1
10431,670,115,4,30.74,2025-05-23,122.96
10432,31,70,6,55.27,2025-03-12,331.62
10433,179,104,2,15.44,2024-07-10,30.88
10434,291,18,4,11.43,2024-06-01,45.72
10435,34,73,5,57.28,2025-09-23,286.4
10436,261,43,3,32.04,2025-05-25,96.12
10437,406,71,5,34.02,2025-05-05,170.1
10438,55,37,3,249.65,2025-01-27,748.95
10439,140,16,2,7.99,2025-10-20,15.98
10440,724,24,5,31.17,2024-09-12,155.85
10441,529,36,5,5.91,2024-01-20,29.55
10442,797,57,6,47.67,2025-01-02,286.02
10443,457,32,4,34.6,2024-12-18,138.4
10444,747,91,5,107.6,2024-11-25,538.0
10445,387,89,2,32.96,2024-01-27,65.92
10446,328,98,2,6.8,2024-01-31,13.6
10447,734,71,3,34.02,2024-02-29,102.06
10448,656,48,4,30.36,2025-06-26,121.44
10449,355,39,5,64.74,2024-08-26,323.7
10450,794,49,1,119.93,2024-09-10,119.93
10451,529,67,3,6.62,2025-06-30,19.86
10452,668,99,6,19.12,2024-02-27,114.72
10453,623,89,2,32.96,2025-08-12,65.92
10454,687,27,4,59.86,2024-12-29,239.44
10455,771,101,2,11.46,2024-06-29,22.92
10456,253,51,3,90.07,2025-12-15,270.21
10457,358,37,5,249.65,2024-01-29,1248.25
10458,557,16,3,7.99,2025-08-04,23.97
10459,501,115,5,30.74,2024-07-11,153.7
10460,681,80,4,190.09,2025-07-09,760.36
10461,318,65,4,365.21,2024-02-08,1460.84
10462,84,14,2,18.35,2025-09-08,36.7
10463,231,33,5,32.06,2025-05-04,160.3
10464,2,3,5,30.96,2024-07-25,154.8
10465,655,37,3,249.65,2024-06-30,748.95
10466,751,37,3,249.65,2024-03-01,748.95
10467,22,74,5,33.89,2025-12-22,169.45
10468,749,29,1,307.74,2025-06-22,307.74
10469,699,10,1,16.11,2025-01-17,16.11
10470,559,49,6,119.93,2025-02-09,719.58
10471,524,17,3,5.46,2024-11-05,16.38
10472,331,106,2,7.75,2025-03-23,15.5
10473,648,120,4,56.35,2025-10-26,225.4
10474,327,108,6,12.15,2025-07-29,72.9
10475,549,84,5,64.49,2024-12-31,322.45
10476,239,29,5,307.74,2024-06-28,1538.7
10477,383,106,6,7.75,2025-12-06,46.5
10478,312,96,2,335.97,2024-01-02,671.94
10479,780,76,5,104.62,2025-02-04,523.1
10480,688,87,5,40.71,2024-02-03,203.55
10481,190,114,3,20.14,2025-09-18,60.42
10482,235,118,5,269.51,2024-04-16,1347.55
10483,774,7,2,61.52,2024-12-05,123.04
10484,599,40,2,7.34,2024-12-21,14.68
10485,794,34,2,32.99,2025-10-13,65.98
10486,725,7,1,61.52,2025-12-26,61.52
10487,531,101,6,11.46,2024-12-09,68.76
10488,434,83,3,61.86,2024-08-02,185.58
10489,264,32,1,34.6,2024-12-24,34.6
10490,270,74,1,33.89,2024-01-02,33.89
10491,39,9,4,104.16,2025-03-05,416.64
10492,794,38,4,96.76,2025-05-19,387.04
10493,720,59,3,19.24,2025-07-13,57.72
10494,380,56,4,29.99,2025-08-14,119.96
10495,529,107,6,80.59,2024-08-18,483.54
10496,166,8,1,72.9,2024-02-04,72.9
10497,312,1,3,50.13,2024-09-24,150.39
10498,783,47,1,106.64,2024-12-16,106.64
10499,177,25,4,58.63,2024-06-13,234.52
10500,587,35,5,68.43,2024-04-05,342.15
10501,342,14,5,18.35,2025-05-09,91.75
10502,559,113,4,46.14,2025-10-31,184.56
10503,169,54,4,48.43,2024-06-09,193.72
10504,44,8,3,72.9,2024-07-29,218.7
10505,794,101,4,11.46,2025-12-14,45.84
10506,494,113,6,46.14,2025-07-07,276.84
10507,281,94,3,92.23,2024-10-31,276.69
10508,255,36,1,5.91,2025-02-06,5.91
10509,510,32,4,34.6,2024-06-06,138.4
10510,46,35,1,68.43,2025-03-13,68.43
10511,82,86,6,32.28,2025-10-02,193.68
10512,529,19,2,3.72,2024-04-09,7.44
10513,25,70,2,55.27,2025-10-15,110.54
10514,311,40,1,7.34,2025-04-29,7.34
10515,683,85,3,81.24,2025-02-11,243.72
10516,457,13,6,13.39,2024-09-28,80.34
10517,85,87,5,40.71,2025-01-31,203.55
10518,193,88,4,68.81,2025-01-13,275.24
10519,194,6,1,73.75,2024-09-26,73.75
10520,427,37,3,249.65,2024-08-19,748.95
10521,681,105,5,380.37,2024-03-04,1901.85
10522,154,81,6,37.15,2025-11-14,222.9
10523,86,93,6,48.58,2024-12-18,291.48
10524,655,91,4,107.6,2025-08-26,430.4
10525,244,44,1,3.7,2025-01-31,3.7
10526,670,45,4,69.2,2025-07-02,276.8
10527,544,20,4,23.62,2025-08-09,94.48
10528,720,31,4,54.69,2024-11-02,218.76
10529,72,59,6,19.24,2024-02-05,115.44
10530,459,32,5,34.6,2025-08-08,173.0
10531,535,57,5,47.67,2024-05-30,238.35
10532,115,70,4,55.27,2024-06-26,221.08
10533,780,78,2,10.87,2024-08-04,21.74
10534,656,82,2,12.04,2024-02-13,24.08
10535,418,9,6,104.16,2025-03-21,624.96
10536,213,109,6,20.83,2024-05-31,124.98
10537,678,115,3,30.74,2024-11-23,92.22
10538,745,83,1,61.86,2024-03-30,61.86
10539,387,81,4,37.15,2025-07-19,148.6
10540,334,10,3,16.11,2025-06-16,48.33
10541,441,71,1,34.02,2025-12-18,34.02
10542,529,54,5,48.43,2025-03-05,242.15
10543,104,76,2,104.62,2024-05-31,209.24
10544,504,108,5,12.15,2024-04-12,60.75
10545,758,12,5,64.05,2024-04-13,320.25
10546,645,101,5,11.46,2024-12-18,57.3
10547,717,43,3,32.04,2025-01-27,96.12
10548,529,118,5,269.51,2025-09-15,1347.55
10549,457,82,2,12.04,2024-10-09,24.08
10550,395,36,5,5.91,2025-09-15,29.55
10551,539,39,4,64.74,2024-02-09,258.96
10552,392,116,3,24.71,2025-12-08,74.13
10553,255,28,6,182.08,2025-05-01,1092.48
10554,754,98,3,6.8,2024-01-21,20.4
10555,342,68,3,39.51,2024-11-14,118.53
10556,297,72,4,46.06,2025-12-13,184.24
10557,542,50,2,8.2,2024-05-17,16.4
10558,312,14,6,18.35,2025-03-29,110.1
10559,631,43,3,32.04,2024-10-02,96.12
10560,584,104,5,15.44,2025-10-23,77.2
10561,84,47,4,106.64,2024-08-04,426.56
10562,747,103,4,8.94,2025-05-11,35.76
10563,619,41,3,30.28,2024-02-27,90.84
10564,466,47,2,106.64,2024-03-08,213.28
10565,321,41,5,30.28,2025-02-17,151.4
10566,138,15,5,61.53,2025-08-05,307.65
10567,31,79,2,11.95,2024-07-24,23.9
10568,681,30,2,185.82,2024-02-03,371.64
10569,440,84,3,64.49,2025-12-22,193.47
10570,210,37,3,249.65,2025-04-20,748.95
10571,459,94,6,92.23,2024-05-06,553.38
10572,539,62,2,33.33,2025-01-16,66.66
10573,457,41,4,30.28,2024-06-30,121.12
10574,789,63,4,6.0,2025-08-23,24.0
10575,494,5,3,26.61,2024-06-16,79.83
10576,681,74,3,33.89,2025-12-06,101.67
10577,84,89,1,32.96,2025-01-30,32.96
10578,40,54,5,48.43,2024-08-07,242.15
10579,695,66,6,53.59,2024-08-18,321.54
